unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
182,500 Fifth Ave,E42,4200,5800,$50.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Xavier Newton,,"$290,000","$24,167","$56,566"
183,11 W 25th St,E GRND,RETL,2500,$86.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Xavier Newton,Elena Ivanova,"$215,000","$17,917","$19,234"
184,11 W 25th St,E4,400,2500,$48.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Xavier Newton,Elena Ivanova,"$120,000","$10,000","$14,560"
185,11 W 25th St,E7,700,2500,$60.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Xavier Newton,Elena Ivanova,"$150,000","$12,500","$10,948"
186,11 W 25th St,E11,1100,2500,$60.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Xavier Newton,Elena Ivanova,"$150,000","$12,500","$17,640"
187,40 W 37th St,P1,Store A,2200,$82.00,Avery Reavill,varun@okadaco.com,Elena Ivanova,Christopher Okada,,"$180,400","$15,033","$11,900"
188,535-547 W 45th St,P8,800,3000,$32.00,Elena Ivanova,varun@okadaco.com,Christopher Okada,,,"$96,000","$8,000","$11,900"
189,255 Fifth Ave,E3,300,5000,$40.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Elena Ivanova,Jonathan Cohen,"$200,000","$16,667","$13,167"
190,255 Fifth Ave,E4,400,5000,$40.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Elena Ivanova,Jonathan Cohen,"$200,000","$16,667","$13,167"
191,255 Fifth Ave,E5,500,5000,$40.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Elena Ivanova,Jonathan Cohen,"$200,000","$16,667","$4,569"
192,227-229 W 29th St,P3,3F,2487,$38.00,Jonathan Cohen,varun@okadaco.com,Elena Ivanova,Christopher Okada,Thomas Capuano,"$94,506","$7,876","$13,231"
193,227-229 W 29th St,P4,4R,2800,$38.00,Jonathan Cohen,varun@okadaco.com,Elena Ivanova,Christopher Okada,Thomas Capuano,"$106,400","$8,867","$14,896"
194,227-229 W 29th St,E7,700,4832,$38.00,Jonathan Cohen,varun@okadaco.com,Elena Ivanova,Christopher Okada,Thomas Capuano,"$183,616","$15,301","$25,706"
195,227-229 W 29th St,E12,1200,3284,$38.00,Jonathan Cohen,varun@okadaco.com,Elena Ivanova,Christopher Okada,Thomas Capuano,"$124,792","$10,399","$17,471"
196,53 Pearl St,E2,200,5062,$42.00,Christopher Okada,varun@okadaco.com,Elena Ivanova,Thomas Capuano,,"$212,604","$17,717","$29,765"
197,53 Pearl St,E4,400,7093,$45.00,Christopher Okada,varun@okadaco.com,Elena Ivanova,Thomas Capuano,,"$319,185","$26,599","$44,686"
198,247 W 30th St,P2,2F,2800,$35.00,Thomas Capuano,varun@okadaco.com,Elena Ivanova,,,"$98,000","$8,167","$13,720"
199,247 W 30th St,P3,3R,2800,$27.00,Thomas Capuano,varun@okadaco.com,Elena Ivanova,,,"$75,600","$6,300","$10,584"
200,247 W 30th St,P4,4F,2800,$36.00,Thomas Capuano,varun@okadaco.com,Elena Ivanova,,,"$100,800","$8,400","$56,566"
201,50 W 17th St,E 10,1000,7200,$55.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Elena Ivanova,,"$396,000","$33,000","$19,234"
202,50 W 17th St,E12,PH,7200,$65.00,Christopher Okada,varun@okadaco.com,Thomas Capuano,Elena Ivanova,,"$468,000","$39,000","$14,560"
203,7 W 36th St,E12,1200,4098,$36.00,Hiro Iwata,varun@okadaco.com,,,,"$147,528","$12,294","$10,948"
204,8 W 38th St,P9,901,3857,$47.00,Alex Fleischman,varun@okadaco.com,Ken Lerner,Christopher Okada,,"$181,279","$15,107","$17,640"
205,8 W 38th St,P11,1102,2780,$46.00,Alex Fleischman,varun@okadaco.com,Ken Lerner,Christopher Okada,,"$127,880","$10,657","$11,900"
206,8 W 38th St,P11,1103,1412,$46.00,Alex Fleischman,varun@okadaco.com,Ken Lerner,Christopher Okada,,"$64,952","$5,413","$11,900"
207,8 W 38th St,P11,1104,650,$49.00,Alex Fleischman,varun@okadaco.com,Ken Lerner,Christopher Okada,,"$31,850","$2,654","$13,167"
208,39-41 W 38th St,P5,5W,2708,$38.00,Ken Lerner,varun@okadaco.com,Alex Fleischman,,,"$102,904","$8,575","$13,167"
209,39-41 W 38th St,P8,8W,2708,$38.00,Ken Lerner,varun@okadaco.com,Alex Fleischman,,,"$102,904","$8,575","$4,569"
210,42 W 38th St,P6,604,1599,$35.00,Ken Lerner,varun@okadaco.com,Alex Fleischman,Jack Elo,,"$55,965","$4,664","$7,835"
211,42 W 38th St,P8,800,2233,$38.00,Ken Lerner,varun@okadaco.com,Alex Fleischman,Jack Elo,,"$84,854","$7,071","$11,880"
212,42 W 38th St,P10,1004,400,$35.00,Ken Lerner,varun@okadaco.com,Alex Fleischman,Jack Elo,,"$14,000","$1,167","$1,960"
213,42 W 38th St,P12,1200,2569,$38.00,Ken Lerner,varun@okadaco.com,Alex Fleischman,Jack Elo,,"$97,622","$8,135","$13,667"
214,6 W 48th St,E4,400,5500,$48.00,Ken Lerner,varun@okadaco.com,Jack Elo,,,"$264,000","$22,000","$36,960"
215,6 W 48th St,E5,500,5500,$48.00,Ken Lerner,varun@okadaco.com,Jack Elo,,,"$264,000","$22,000","$36,960"
216,6 W 48th St,E6,600,5500,$48.00,Ken Lerner,varun@okadaco.com,Jack Elo,,,"$264,000","$22,000","$36,960"
217,144 W 37th St,P4,400,1500,$32.00,Ken Lerner,varun@okadaco.com,Alex Fleischman,Jack Elo,,"$48,000","$4,000","$6,720"
218,144 W 37th St,P5,500,1500,$35.00,Ken Lerner,varun@okadaco.com,Alex Fleischman,Jack Elo,,"$52,500","$4,375","$7,350"
219,40 W 38th St,P11,1008,2708,$38.00,Ken Lerner,varun@okadaco.com,,,,"$102,904","$8,575","$56,566"
220,60 W 45th S,P11,788,2708,$34.00,Maggie Miles,varun@okadaco.com,Elena Ivanova,,,"$92,072","$7,673","$19,234"
221,412 Broadway,P5,792,1599,$34.00,Alex Fleischman,varun@okadaco.com,Ken Lerner,Maggie Miles,,"$54,366","$4,531","$14,560"
222,135 W 52nd St,P8,1189,2233,$31.00,Maggie Miles,varun@okadaco.com,,,,"$69,223","$5,769","$10,948"
223,171 Elizabeth St,P6,768,400,$30.00,Matt Fernandez,varun@okadaco.com,,,,"$12,000","$1,000","$17,640"
224,84 Mulberry St,P8,1118,2569,$35.00,Christopher Okada,varun@okadaco.com,,,,"$89,915","$7,493","$11,900"
225,288-290 Water St,P10,1069,5500,$38.00,Christopher Okada,varun@okadaco.com,,,,"$209,000","$17,417","$11,900"
